objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,type,format,language,rights,rightsstatement,rightsstatement
snsp011,athousandcuts.jpg,,,A Thousand Cuts,Ramona Diaz,2020-01-25,A look at how Philippine President Rodrigo Duterte uses social media to spread disinformation.,universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp012,motherland.jpg,,,Motherland,Ramona Diaz,2017-01-21,"Taking us into the heart of the planet's busiest maternity hospital, the viewer is dropped like an unseen outsider into the hospital's stream of activity. At first, the people are strangers. As the film continues, it's absorbingly intimate, rendering the women at the heart of the story increasingly familiar.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp013,noimg.png,,,Imelda,Ramona Diaz,2004-07-20,"Follows the rise of a Filipino political dynasty through the eyes of its glamorous, extravagant First Lady, following her journey as she seizes power to become one of the most complex and polarizing women in history.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/png,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp014,inmylife.jpg,,,In My Life,Olivia Lamasan,2009-09-16,"Shirley is a woman who wants to be in control of everything. Working as a librarian in a public school, a firm “Sshhh!” from her makes the students tremble in fear. But in her family, her unwarranted intervention in the lives of her children and their families keeps her emotionally detached from them. Realizing that she has lost the command she once had, she goes to New York to reunite with Mark , her estranged gay son who is now suffering from colon cancer. But Shirley doesn’t know this and living with Mark in New York comes with a cost. She has to live with her son’s lover Noel who is an illegal immigrant. Everything is going right until circumstances forces Shirley to go back to the Philippines. Now that she’s back with her family, she realizes that something is wrong she is not happy.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp015,themistress.jpg,,,The Mistress,Olivia Lamasan,2012-09-12,"A young woman is torn between the affections of her two lovers. One is a young bachelor who brings passion into her life. The other is a married man who has kept her as his mistress for years. Architect JD has a chip on his shoulder about his father Rico never really accepting him as his son. Seamstress Sari struggles to take care of her family. The two meet by chance, and JD aggressively pursues Saris affections. Though the two are clearly a good match, there is a problem standing in the way of their bliss: Sari is the mistress of JDs father. Against his better judgment, JD continues to court Sari even after finding out this difficult fact. He hides his true identity as Ricos son, and fights to win Saris heart.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp016,inthenameoflove.jpg,,,In the Name of Love,Olivia Lamasan,2011-05-11,"Former dance instructor Emman Toledo was employed as a dance instructor for a governor’s ball. He finds himself in a passionate love affair with Cedes Fernandez who happens to be engaged to Dylan Evelino son of the governor. The couple finds themselves in a dangerous situation. The Evelino Clan is too powerful that nothing gets in their way to get what they want. Despite her hatred for the dirty politics, Cedes has no choice but to succumb to the decision of Dylan out of her indebtedness towards the family. Emman is drawn towards Cedes from the first time she catches his eye. As their lives intertwine through dance, Emman and Cedes find themselves resisting an affair: one that holds the truths to their painful pasts, and the memories of a boundless love. Pursuing their feelings for each other will only set fire to the dangers and trappings of their love, so much so that their love could cost them their lives.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp017,hypothalamus.jpg,,,Gusto Kita with All My Hypothalamus,Dwein Baltazar,2018-05-09,"In Avenida, the lives of four men intertwine, searching for something. They all find what they are looking for in one woman named Aileen.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp018,odasawala.jpg,,,Oda sa Wala,Dwein Baltazar,2018-10-23,"Sonya, an old maid is about to give up on herself until one day, she meets a corpse in her family’s embalming business that changes her life.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp019,mamayumeng.jpg,,,Mamay Umeng,Dwein Baltazar,2012-11-30,"In a quaint provincial town, an elderly man awaits his inevitable fate.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp020,kaoryang.jpg,,,Ka Oryang,Sari Dalena,2011-11-11,A young woman witnesses the beginnings of a revolution during Martial Law.,universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp021,theguerillaisapoet.jpg,,,The Guerilla Is a Poet,Sari Dalena,2013-09-18,"The tale of an activist's journey during the turbulent years of Martial Law, until his capture in the mountains and the dark, nine years of imprisonment that followed, leading to his birth as a poet.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp022,dahilingnick.jpg,,,Dahling Nick,Sari Dalena,2015-11-09,"The story of Nick Joaquin, who only accepted the National Artist Award on the condition that the Marcos administration release a well-known writer who was being unjustly detained during Martial Law.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp023,10000hours.jpg,,,10000 Hours,Joyce Bernal,2013-12-25,"Senator Gabriel Alcaraz is preparing to deliver a privilege speech alleging corruption in the highest levels of government. On his way to the Senate, he gets wind of a plot against him. The police seek to arrest him for his part in an operation decades ago. Suspecting that the administration isn’t willing to give him a fair trial, Alcaraz goes into hiding abroad, hoping to find a way to clear his name and eventually return to his family. Back home, an old colleague is put in charge of finding him, and his family suffers under the pressure of public scrutiny.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp024,kimmydora.jpg,,,Kimmy Dora: Kambal sa Kiyeme,Joyce Bernal,2009-09-02,"Kimmy and Dora (both Eugene Domingo) are identical twins but are as different as night and day. Kimmy is the smart, dictatorial type while Dora is the slow, dumb-wit sister. Kimmy has always been jealous of her sister as Johnson (Dingdong Dantes), the man she really likes, only has eyes for Dora. All hell breaks loose when their father(Ariel Ureta) gets a heart attack and makes Dora the majority owner of their family business if in case he dies. Kimmy thinks this is unfair and gets the help of their lawyer Harry (Baron Geisler) to take care of “business”. A misunderstanding brings forth a plan to kill Dora but they kidnap Kimmy instead. Now Kimmy must find a way to get away from her captors while Dora must act as her tough sister and control their corporation in order to hide the truth from their father.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp025,everythingabouther.jpg,,,Everything About Her,Joyce Bernal,2016-01-27,"Powerful but ill-stricken business woman, Vilma Santos navigates her complicated relationship with her caregiver, Angel Locsin and her estranged son, Xian Lim in this story about acceptance, love and forgiveness.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp026,hellolovegoodbye.jpg,,,"Hello, Love, Goodbye",Cathy Garcia-Molina,2019-07-31,"A bartender and a domestic helper of Filipino origin living in Hong Kong find themselves falling in love, but they each have different plans for their future.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp027,onemorechance.jpg,,,One More Chance,Cathy Garcia-Molina,2002-11-17,"Popoy and Basha had been together forever. Their love story began when they first met as students at university. They had been inseparable and did everything together—eating, studying and attending parties. However, Popoy’s incessant planning and nagging took a toll on their relationship leading Basha to break-up with him.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp028,ittakesamanandawoman.jpg,,,It Takes a Man and a Woman,Cathy Garcia-Molina,2013-03-30,"The film follows the life of Miggy and Laida after their unforeseen break-up in the second film. Trying to co-exist in the same company, they are forced to work together opposing each others decisions while facing their unsettled past.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
